slug,date,score,prose,fences,evidence,refs,visual,chars,n_fences,n_refs,action,title
node-structured-clone-semantics,2026-09-14,3,1,0,1,0,1,768,0,0,DEL?,structuredClone 四语义：隔离真，函数拒收，类退化 plain
go-mldsa-sign-verify,2026-09-14,3,1,0,1,0,1,772,0,0,DEL?,Go 1.27 crypto/mldsa：签验闭环与 1952B 公钥的代价
http-keepalive-reuse-idle,2026-09-14,3,1,0,1,0,1,774,0,0,DEL?,HTTP keep-alive 三个数：10 请求 1 连接、禁用 10 连接、闲 300ms 变 
go-traceback-pprof-labels,2026-09-14,3,1,0,1,0,1,782,0,0,DEL?,Go 1.27 traceback 自带 pprof 标签：默认可见，一键可关
capability-map-interview,2026-09-14,3,2,0,0,0,1,1056,0,0,DEL?,后端能力地图：279 篇生产文章编成的面试叙事
slo-burn-rate-alert,2026-09-14,4,1,1,1,0,1,630,1,0,DEEPEN,SLO burn-rate 双阈值：ticket +7 分钟响，page +16 分钟确认
llm-13-pass-at-k-unbiased,2026-09-14,4,1,1,1,0,1,633,1,0,DEEPEN,pass@k 必须用无偏估计：朴素 c/n 把 0.51 算成 0.30
a2a-delegate-chain,2026-09-14,4,1,1,1,0,1,634,1,0,DEEPEN,A2A 委派链：coder 按卡转包，reviewer 只见子任务
agent-tooloop-fuse,2026-09-14,4,1,1,1,0,1,641,1,0,DEEPEN,Agent 死循环熔断：同签名连错 3 次开闸，交替错误不误伤
service-webhook-hmac,2026-09-14,4,1,1,1,0,1,673,1,0,DEEPEN,webhook 三断言：签名对上才执行，同 id 复投不重执
go-fuzz-parser-crash,2026-09-14,4,1,1,1,0,1,674,1,0,DEEPEN,Go fuzz 实战：0.4 秒抓到空 key，30 秒 970 万次确认修复
node-als-request-context,2026-09-14,4,1,1,1,0,1,766,1,0,DEEPEN,Node ALS 请求上下文：10 并发下共享变量只对 1 个
sqlite-wal-checkpoint,2026-09-14,4,1,1,1,0,1,825,1,0,DEEPEN,SQLite WAL checkpoint：49KB 先长后消，2000 行不少一行
go-uuid-v7-ordered,2026-09-14,4,1,1,1,0,1,931,1,0,DEEPEN,Go 1.27 标准库 uuid：v7 有序但非严格单调
pi-advanced-07-mini-pi-project,2026-08-23,5,2,2,0,0,1,1346,7,0,DEEPEN,从零构建 Mini-Pi：一个自包含、可运行的轻量级 Agent 引擎
pi-advanced-06-enterprise-evals,2026-08-23,5,2,2,0,0,1,1494,4,0,DEEPEN,企业级 Agent 评测体系：基于真实 PR 的沙箱回归测试流水线
pi-advanced-03-mcp-gateway,2026-08-23,5,3,1,0,0,1,1753,2,0,DEEPEN,连接一切工具：为 Pi 编写标准 MCP 客户端桥接器
agent-session-budget,2026-08-23,5,3,0,1,0,1,2301,0,0,DEEPEN,到限额才刹车，100% 会超支：Agent 会话预算的三种刹车实测
eval-set-leakage,2026-08-23,5,3,0,1,0,1,2319,0,0,DEEPEN,模型没变好，分数先变好：评测集泄漏的膨胀曲线实测
node-permission-model-boundary,2026-09-14,6,3,1,1,0,1,1583,2,0,POLISH,Node 权限模型：能拦住投毒依赖读文件，拦不住什么
typescript-71-beta-native-check,2026-09-14,6,3,1,1,0,1,1592,2,0,POLISH,TS 7.1 nightly 自举实测：本仓 typecheck 快 5 倍，报错逐字一致
oract-04-journal-projection-and-playback,2026-08-24,6,3,2,0,0,1,1633,5,0,POLISH,ORACT 架构解密（四）：无副作用 Playback 回放、会话投影与 Fork 分叉
pi-advanced-01-rpc-sdk,2026-08-23,6,3,2,0,0,1,1681,5,0,POLISH,无头模式与 RPC 协议：将 Pi 嵌入 IDE、Web 与 CI 流水线
oract-06-reliability-lab-and-chaos-testing,2026-08-24,6,3,2,0,0,1,1745,6,0,POLISH,ORACT 架构解密（六）：混沌工程与 Reliability Lab：给 Agent 做确定性故障
llm-12-eval-deploy-gate,2026-09-14,6,3,1,1,0,1,1791,2,0,POLISH,eval 进发布门：关键失败、数据集版本与抖动预算三规则
pi-tutorial-07-extension-system,2026-08-23,6,3,2,0,0,1,1808,6,0,POLISH,进程内扩展与自修改闭环：生命周期钩子、权限门禁与 /reload
go-encoding-json-v2-goroutineleak,2026-09-14,6,3,1,1,0,1,2012,2,0,POLISH,Go 1.27 双特性实测：json/v2 的 strict 与 goroutineleak 画像的
pi-tutorial-02-streaming-tui,2026-08-23,6,3,2,0,0,1,2027,5,0,POLISH,流式传输与差分渲染：Thinking 块、ToolCall 增量聚合与 TUI 引擎
pi-tutorial-09-evals-telemetry,2026-08-23,6,3,2,0,0,1,2044,5,0,POLISH,自动化评测与全链路遥测：从 SWE-Bench 到企业级 Token 记账
pi-advanced-02-subagents,2026-08-23,6,3,2,0,0,1,2047,3,0,POLISH,Subagents 协作模式：用轻量进程编排多 Agent 并行开发
pi-tutorial-06-provider-gateway,2026-08-23,6,3,2,0,0,1,2050,4,0,POLISH,多供应商网关与弹性重试：统一 API、指数退避与可中断睡眠
oract-03-security-boundary-and-bubblewrap,2026-08-24,6,3,2,0,0,1,2151,5,0,POLISH,ORACT 架构解密（三）：零信任安全边界、Secret 动态脱敏与 Linux Sandbox
speedtest-06-edge-scheduling,2026-08-27,6,3,2,0,0,1,2163,6,0,POLISH,全局测速调度：BGP Anycast、就近选路与原子容量接纳
oract-05-distributed-lease-and-fencing,2026-08-24,6,3,2,0,0,1,2169,5,0,POLISH,ORACT 架构解密（五）：分布式租约调度、Fencing 纪元栅栏与跨语言 Worker (OEP
speedtest-02-zero-copy-downlink,2026-08-27,6,3,2,0,0,1,2175,7,0,POLISH,下行压榨万兆网卡：sendfile、splice 与高熵数据灌水
pi-tutorial-05-session-tree,2026-08-23,6,3,2,0,0,1,2233,5,0,POLISH,树状持久化与崩溃自愈：JSONL 存储引擎、分支回退与残行修复
pi-tutorial-03-diff-edit,2026-08-23,6,3,2,0,0,1,2274,3,0,POLISH,代码怎么改：模糊锚点匹配与 Diff-Aware 行级编辑算法
oract-02-reliable-effects-and-outbox,2026-08-24,6,3,2,0,0,1,2276,5,0,POLISH,ORACT 架构解密（二）：可靠副作用执行与事务性 Outbox 模式
dsh-05-llm-streaming-and-compaction,2026-08-24,6,3,2,0,0,1,2394,8,0,POLISH,DeepSeek Harness 架构解密（五）：LLM 流式流控、思考链提取与上下文溢出压缩
dsh-03-session-log-and-projection,2026-08-24,6,3,2,0,0,1,2431,5,0,POLISH,DeepSeek Harness 架构解密（三）：Append-Only Session Log 与
pi-tutorial-08-sandbox-security,2026-08-23,6,3,2,0,0,1,2470,5,0,POLISH,物理沙箱与生产安全：BashOperations、微虚拟机与提示词注入防御
sqlite-two-writers-busy,2026-08-23,6,4,0,1,0,1,2890,0,0,POLISH,SQLite 不给你排队：两个连接同时写，输家在 0.4ms 内收到失败
go-defer-panic-cost,2026-08-14,6,4,0,1,0,1,3011,0,0,POLISH,defer 的真相：3ns 的日常、30ns 的循环税，与 74ns 的 panic
histogram-bucket-design,2026-08-19,6,4,0,1,0,1,3117,0,1,POLISH,直方图桶不是拍脑袋：桶边界直接决定 p99 误差，越界桶让估计整段失效
llm-02-continuous-batching-scheduler,2026-08-30,6,4,1,0,0,1,3226,1,0,POLISH,大模型吞吐翻倍引擎：从静态批处理到连续批处理（Continuous Batching）状态机
p99-sample-size-confidence,2026-08-19,6,4,0,1,0,1,3280,0,1,POLISH,p99 的一次测量不可信：样本量决定分位数能告诉你多少
memory-metrics-rss-heapused,2026-08-19,6,4,0,1,0,1,3324,0,1,POLISH,RSS、heapUsed 与 GC 后保留量：三张表各回答一个问题
agent-engine-extensions,2026-08-20,6,4,1,0,0,1,3387,2,0,POLISH,34 行写出权限弹窗：Pi 的「不内置功能」宣言背后的扩展 API
kernel-05-tc-bbr-qdisc-traffic-shaping,2026-08-30,6,4,1,0,0,1,3469,2,0,POLISH,Linux 流量控制（TC）与拥塞调度：qdisc 排队规则、HTB 分层令牌桶与 BBR 联动调优
llm-embedding-retrieval,2026-08-16,6,4,0,1,0,1,3501,0,0,POLISH,检索的数学：为什么 embedding 排序比你想象的更依赖几何结构
agent-engine-session,2026-08-20,6,4,1,0,0,1,3565,2,0,POLISH,会话是树不是日志：Pi 的分支、版本迁移与崩溃自愈
llm-05-semantic-cache-vector-rag-jitter,2026-08-30,6,4,1,0,0,1,3652,1,0,POLISH,大模型语义缓存与检索防抖：Embedding 相似度边界与 RAG 链路保护
go-benchmark-pitfalls,2026-08-15,6,4,0,1,0,1,3744,0,0,POLISH,benchmark 的七宗罪：死代码、逃逸与采样 profile 的错觉
llm-03-speculative-decoding-inference-speedup,2026-08-30,6,4,1,0,0,1,3760,1,0,POLISH,投机采样（Speculative Decoding）物理本质：草稿模型推测与大模型并行验证
kernel-03-xdp-line-rate-packet-bypass,2026-08-30,6,4,1,0,0,1,3782,1,0,POLISH,XDP（eXpress Data Path）极速网络旁路：驱动层线速包处理与 Tbps 级性能神话
agent-engine-provider,2026-08-20,6,4,1,0,0,1,3968,1,0,POLISH,换模型不是换代码：pi-ai 如何把 47 家供应商折成一层 API
cdn-05-edge-computing-serverless-runtime,2026-08-29,6,5,0,0,0,1,4658,0,0,POLISH,现代 CDN 核心机理与全景架构（五）：边缘计算与 Serverless：从边缘 KV、V8 Iso
cdn-04-edge-security-waf-ddos,2026-08-29,6,5,0,0,0,1,5364,0,0,POLISH,现代 CDN 核心机理与全景架构（四）：安全防御体系：边缘 WAF、DDoS 分布式清洗与 TLS 
distributed-clock-ordering-hlc-truetime,2026-08-31,6,5,0,0,0,1,5595,0,0,POLISH,没有全局时钟的世界：HLC、TrueTime 与因果一致性怎么选
observer-effect-monitoring-as-load,2026-09-01,6,5,0,0,0,1,5683,0,1,POLISH,测一下，改一下：监控自己也是一种负载
cdn-03-dynamic-acceleration-smart-routing,2026-08-29,6,5,0,0,0,1,6355,0,0,POLISH,现代 CDN 核心机理与全景架构（三）：动态请求加速（DCA）、私有骨干专网智能路由与 TCP 拥塞
hidden-defaults-architecture-decisions,2026-09-01,6,5,0,0,0,1,7265,0,0,POLISH,默认值是一种隐藏的架构决策
cdn-01-anycast-bgp-routing,2026-08-29,6,5,0,0,0,1,10525,0,0,POLISH,现代 CDN 核心机理与全景架构（一）：Anycast BGP 路由广播、TCP 路由漂移防御与四层
go-generic-methods-interface-boundary,2026-09-14,7,3,2,1,0,1,1564,3,0,POLISH,Go 1.27 泛型方法：把 Map 写回类型身上，但别碰接口
rate-limit-window-boundary,2026-09-13,7,3,2,1,0,1,1972,3,0,POLISH,窗口边界那 2ms 能进多少请求：定窗 2 倍 burst 的精确形状
service-testing-strategy,2026-08-16,7,3,2,1,0,1,2351,5,2,POLISH,测试值多少钱：先把并发反例写进断言
service-incident-drama,2026-08-16,7,3,2,1,0,1,2428,5,2,POLISH,一次构造事故演练：两个 Map 为什么要一起验收
llm-11-mcp-tasks-extension,2026-09-13,7,3,2,1,0,1,2497,3,0,POLISH,长任务状态三形状：MRTR 重试、Tasks 轮询、SSE 推送
pi-advanced-05-kv-cache-deep,2026-08-23,7,4,2,0,0,1,2518,4,0,POLISH,把每一分钱省到极致：KV Cache 字节级对齐与 Prompt Caching 实战
speedtest-07-10g-cost-architecture,2026-08-27,7,4,2,0,0,1,2520,4,0,POLISH,万兆测速服务架构实战：从内核调优到十万并发成本模型
dsh-04-capability-seams-and-sandbox,2026-08-24,7,4,2,0,0,1,2532,5,0,POLISH,DeepSeek Harness 架构解密（四）：三位一体能力缝隙 (Capability Seam
dsh-06-plugin-development-and-mcp,2026-08-24,7,4,2,0,0,1,2588,6,0,POLISH,DeepSeek Harness 架构解密（六）：手把手编写自定义插件与 MCP 协议深度融合
speedtest-03-zero-alloc-uplink,2026-08-27,7,4,2,0,0,1,2662,4,0,POLISH,上行吞吐的内存黑洞：移动端零堆分配与服务端极速 Sink
go-errors-is-unwrap-cost,2026-08-16,7,4,1,1,0,1,2697,1,0,POLISH,错误链的账本：查询每层约 4ns，包装一次 142ns，税在构造不在遍历
oract-01-durable-agent-kernel,2026-08-24,7,4,2,0,0,1,2734,3,0,POLISH,ORACT 架构解密（一）：大模型不确定，但执行系统必须可靠——Go 原生 Durable Agen
redis-intset-encoding-memory,2026-08-19,7,4,1,1,0,1,2784,1,1,POLISH,Redis 集合三种编码：从 intset 到 hashtable 的内存跳跃实测
speedtest-04-jitter-bufferbloat,2026-08-27,7,4,2,0,0,1,2789,5,0,POLISH,抖动、时延与缓冲膨胀：RFC 3550 滤波与满载排队度量
go-closure-escape,2026-08-16,7,4,1,1,0,1,2801,2,0,POLISH,Go 闭包的逃逸边界：无捕获调用 0 alloc，保存回调 1 alloc
benchmark-one-variable,2026-08-19,7,4,1,1,0,1,2803,1,0,POLISH,benchmark 只改一个变量：min 统计会把第二个变量藏起来
pi-tutorial-04-compaction-budget,2026-08-23,7,4,2,0,0,1,2824,3,0,POLISH,上下文预算与记忆压缩：KV Cache 友好的 Compaction 算法
speedtest-05-protocol-overhead,2026-08-27,7,4,2,0,0,1,2921,4,0,POLISH,协议开销战争：Raw TCP vs WebSocket vs HTTP/2 vs HTTP/3
latency-attribution,2026-08-23,7,4,1,1,0,1,2946,1,0,POLISH,setTimeout(25) 到客户端手里是 27ms：一次请求的三段归因实测
database-deadlock-wait-graph,2026-08-06,7,4,2,0,0,1,3031,5,0,POLISH,死锁不是靠重试：wait-for graph 与间隙锁
dsh-02-turn-step-lifecycle,2026-08-24,7,4,2,0,0,1,3052,7,0,POLISH,DeepSeek Harness 架构解密（二）：Turn 与 Step 双层循环及事件状态机
lamport-vector-clocks,2026-08-23,7,4,1,1,0,1,3054,1,0,POLISH,Lamport 时钟说\
redis-eviction-policy,2026-08-19,7,4,1,1,0,1,3067,1,1,POLISH,Redis maxmemory 淘汰不是开关：LRU 对扫描流脆弱、LFU 免疫，本机四策略对照
librespeed-go-05-interface,2026-08-26,7,4,1,1,0,1,3072,1,1,POLISH,从 URL 到监听入口：LibreSpeed Go 的接口兼容与部署边界
git-bisect-regression-hunt,2026-08-19,7,4,1,1,0,1,3119,2,1,POLISH,git bisect 亲手四步定位回归：不是命令，是判定脚本工程
go-mallocgc-allocator,2026-08-14,7,4,1,1,0,1,3148,2,0,POLISH,mallocgc 解剖：约 12ns 的小对象、约 85ns 的 256B 分配，与约 733ns 
two-phase-commit-vs-saga-outbox,2026-08-23,7,4,1,1,0,1,3153,1,0,POLISH,2PC、SAGA、Outbox 的分歧点：崩溃后谁负责收拾
speedtest-01-physical-essence,2026-08-27,7,4,2,0,0,1,3220,5,0,POLISH,测速的物理本质：为什么测速不是测文件下载？
go-sync-pool-design,2026-08-15,7,4,1,1,0,1,3221,2,0,POLISH,sync.Pool 的错位设计：命中 9ns、256B 分配 99ns，它不是缓存
llm-04-streaming-gateway-sse-backpressure,2026-08-30,7,4,2,0,0,1,3221,3,0,POLISH,大模型长连接网关工程：SSE 流式代理、HTTP 分块传输与反压熔断
agent-engine-security,2026-08-20,7,4,2,0,0,1,3285,3,0,POLISH,权限边界与沙箱：为什么 Pi 不做应用层弹窗，而把隔离推给容器
go-atomic-vs-mutex,2026-08-14,7,4,1,1,0,1,3313,1,0,POLISH,atomic 与 Mutex：7ns 到约 128ns 的争用曲线，不要把原语当银弹
deployment-canary-blue-green,2026-08-07,7,4,2,0,0,1,3344,3,0,POLISH,金丝雀不是回滚的替代品：发布策略的流量账本
go-interface-boxing,2026-08-15,7,4,1,1,0,1,3371,2,0,POLISH,interface 的真相：动态分派 2ns、标量装箱零分配、大对象才付账
kernel-01-packet-rx-tx-ring-buffer-napi,2026-08-30,7,4,2,0,0,1,3432,3,0,POLISH,Linux 网络收发包物理路径：从网卡 DMA、Ring Buffer、NAPI 轮询到 sk_bu
agent-engine-tools,2026-08-20,7,4,2,0,0,1,3445,3,0,POLISH,Agent 的手：为什么 4 个工具够用，以及 bash 沙箱的实质
characterization-test-refactor-safety-net,2026-08-23,7,4,1,1,0,1,3476,1,0,POLISH,重构不改行为，但你怎么证明？给 store 拍一套行为快照
pi-tutorial-01-minimal-loop,2026-08-23,7,4,2,0,0,1,3504,5,0,POLISH,从 50 行代码到状态机：手写最小 Agent Harness
kernel-02-ebpf-virtual-machine-verifier-jit,2026-08-30,7,4,2,0,0,1,3531,5,0,POLISH,深入 eBPF 虚拟机内核：字节码指令集、Verifier 静态安全性验证与 JIT 编译
go-map-hmap-cost,2026-08-13,7,4,1,1,0,1,3536,1,0,POLISH,Go map 的账本：8192 倍数据只改变约 2%，和 10 万次插入的 25.7% 税
raft-consensus-term-log-replication,2026-08-06,7,4,2,0,0,1,3548,4,0,POLISH,共识不是多数派投票：Raft 的任期与日志复制
kernel-04-ebpf-kprobe-tracepoint-observability,2026-08-30,7,4,2,0,0,1,3549,3,0,POLISH,eBPF 无侵入可观测性实战：Kprobe 动态插桩、Tracepoint 静态埋点与 Off-CP
llm-sampling-reproducibility,2026-08-16,7,4,1,1,0,1,3554,1,0,POLISH,采样不是玄学：temperature、top-p、seed 的几何语义
esm-cjs-dual-package,2026-08-19,7,4,1,1,0,1,3601,1,1,POLISH,ESM/CJS 双包不是发行策略，是分辨率合同：exports 字段的三层语义
quic-http3-connection-migration,2026-08-06,7,4,2,0,0,1,3604,5,0,POLISH,QUIC 不是 TCP 2.0：连接迁移与 0-RTT 的代价账
rebuild-incident-evidence-chain,2026-08-23,7,4,1,1,0,1,3626,2,0,POLISH,接手一个只剩传闻的事故：先重建证据链，再谈根因
agent-engine-economics,2026-08-20,7,4,1,1,0,1,3755,1,0,POLISH,少发 Token 才是硬道理：从 Databricks 与 Shopify 实测看 Harness 
llm-tool-calling-contract,2026-08-16,7,4,1,1,0,1,3882,2,0,POLISH,给模型写的 API：错误形状决定 Agent 能不能自愈
btree-page-split-write-amplification,2026-08-10,7,4,1,1,0,1,3884,1,0,POLISH,B+Tree 的随机插入为什么吃空间：16KB 页与页分裂模型
consensus-05-chaos-engineering-jepsen-linearizability,2026-08-30,7,5,1,0,0,1,4045,1,0,POLISH,混沌工程与分布式一致性检验：Jepsen 故障注入与 Knossos 线性一致性判定
consensus-06-distributed-locks-redlock-etcd-fencing,2026-08-30,7,5,1,0,0,1,4159,2,0,POLISH,分布式锁的工程演进与物理红线：从 Redis Redlock、etcd 租约到 Fencing To
consensus-03-distributed-transactions-2pc-saga-outbox,2026-08-30,7,5,1,0,0,1,4166,2,0,POLISH,分布式事务工程演进：2PC/3PC 阻塞困境、SAGA 状态机编排与本地消息表
consensus-01-raft-state-machine-replication,2026-08-30,7,5,1,0,0,1,4227,2,0,POLISH,深入 Raft 共识内核：Leader 选举状态机、日志复制与物理脑裂防御
llm-token-economics,2026-08-16,7,5,0,1,0,1,4605,0,0,POLISH,LLM 的 token 经济学：同一类请求，为什么账单能差 18.3 倍
distributed-lock-fence-lease,2026-08-08,7,5,1,0,0,1,4733,2,0,POLISH,分布式锁卖的不是互斥：fencing token 才是真正的租约
legacy-code-as-information-compression,2026-09-01,7,5,1,0,0,1,4761,2,0,POLISH,你想删的，不是代码，是一份没人写过的需求文档
consensus-02-quorum-read-write-cap-pacelc,2026-08-30,7,5,1,0,0,1,4964,1,0,POLISH,Quorum 机制与一致性边界：R+W>N 物理重叠、Sloppy Quorum 与 PACELC 
llm-01-kv-cache-paged-attention,2026-08-30,7,5,1,0,0,1,5091,1,0,POLISH,大模型显存墙与内存虚拟化：KV Cache 物理开销与 PagedAttention 底层原理
consensus-04-logical-clocks-vector-spanner-truetime,2026-08-30,7,5,1,0,0,1,5198,2,0,POLISH,分布式时序与因果一致性：Lamport 逻辑时钟、向量时钟到 Spanner TrueTime 物理
monitoring-vs-forensics,2026-09-01,7,5,0,0,1,1,5311,0,3,POLISH,监控告诉你「系统在叫」，取证告诉你「系统做了什么」
agent-engine-layers,2026-08-20,7,5,1,0,0,1,5552,2,0,POLISH,94k stars 的 Agent 只有 4 个工具：Pi 的五层架构与「刻意不做」
frontend-framework-taxonomy,2026-08-06,7,5,1,0,0,1,5685,2,0,POLISH,前端框架真正差在哪：渲染、响应式与状态
rollback-observed-side-effects,2026-09-01,7,5,0,0,1,1,5884,0,5,POLISH,回滚难的不是状态，是外部已经观测到的副作用
kubernetes-graceful-termination,2026-08-06,7,5,1,0,0,1,6271,1,0,POLISH,Kubernetes 优雅下线为什么难：从 SIGTERM 到流量排空的多层时序
dependency-upgrade-resource-signature,2026-09-01,7,5,0,0,1,1,6577,0,6,POLISH,依赖升级的风险不在 breaking change，在资源特征的静默漂移
health-check-semantics-special-request,2026-09-01,7,5,0,0,1,1,6700,0,3,POLISH,健康检查是系统里语义最特殊的请求
go-nethttp-connection-reuse,2026-08-16,7,5,1,0,0,1,6793,2,0,POLISH,http.Transport 的复用账本：默认 2 条空闲连接怎么拖慢高并发
abstraction-leaks-failure-modes,2026-09-01,7,5,1,0,0,1,6921,1,0,POLISH,抽象漏的不是细节，是失败模式
js-ecosystem-layers,2026-08-06,7,5,1,0,0,1,7156,2,0,POLISH,JavaScript 生态的五层包装：引擎、浏览器、运行时与原生壳
cdn-02-edge-cache-consistent-hashing,2026-08-29,7,5,1,0,0,1,7659,2,0,POLISH,现代 CDN 核心机理与全景架构（二）：七层边缘分层缓存、Ketama 一致性哈希与回源风暴（Thu
package-manager-history-and-comparison,2026-08-08,7,5,1,0,0,1,8340,1,0,POLISH,从 make install 到 /nix/store：Linux 与 macOS 包管理器三十年记
a2a-agent-card-discovery,2026-09-13,8,4,2,1,0,1,2527,3,0,KEEP,A2A 的 Agent Card：对等体发现时，版本与能力由谁背书
librespeed-go-01-overview,2026-08-26,8,4,2,1,0,1,2531,4,1,KEEP,一个测速点的最小闭环：从 main.go 到三个测量端点
consistent-hashing-minimal-remap,2026-08-07,8,4,2,1,0,1,2560,4,0,KEEP,一致性哈希的数学直觉：本例加一台只搬约 14.6%
service-release-checklist,2026-08-16,8,4,2,1,0,1,2639,4,2,KEEP,发布清单不能替你证明上线：把每一勾绑定到证据
llm-10-model-bill-sensitivity,2026-09-13,8,4,2,1,0,1,2641,3,0,KEEP,同样的 $10/$50，为什么月账单能差 10 倍：模型定价的四个乘数
typescript-agent-production,2026-08-16,8,4,2,0,1,1,2715,7,3,KEEP,Agent 服务化的三个边界：并发合并、幂等状态与成本单位
librespeed-go-03-client-ip,2026-08-26,8,4,2,1,0,1,2722,5,1,KEEP,从请求来源到结果记录：LibreSpeed Go 的身份、隐私与存储
librespeed-go-04-contract,2026-08-26,8,4,2,1,0,1,2793,3,1,KEEP,一次测速如何完成：Worker 合同、计量点与收尾算法
service-api-shape,2026-08-16,8,4,2,1,0,1,2829,8,2,KEEP,API 形状是合同：错误、重试与冲突必须一起定义
typescript-interface-schema-zod,2026-08-16,8,4,2,1,0,1,2853,4,2,KEEP,接口边界三合一：schema 同时负责校验、类型与错误路径
mysql-statistics-drift-plan,2026-08-19,8,4,2,1,0,1,2952,4,1,KEEP,统计过期不改变计划，改变的是坏的执行：InnoDB 持久统计的本机实验
abort-signal-tool-side-effects,2026-08-23,8,4,2,1,0,1,3025,3,0,KEEP,cancel() 之后，工具还是把钱扣了：AbortSignal 管不到的副作用
epoll-c10k-c10m,2026-08-07,8,4,2,1,0,1,3092,5,0,KEEP,从 C10K 到 C10M：epoll 与内核网络栈的一生
go-append-slice-growth,2026-08-16,8,4,2,1,0,1,3113,3,0,KEEP,append 的扩容税：真实容量序列决定搬运与分配
review-idempotent-pr-concurrency,2026-08-23,8,4,2,1,0,1,3130,5,0,KEEP,评审幂等 PR：先让 100 个相同请求同时到达
service-observability-slo,2026-08-16,8,4,2,1,0,1,3191,4,2,KEEP,先定义 SLO，再写监控：进程内 p99 不是生产承诺
tree-shaking-comparison-costs,2026-08-07,8,4,2,1,0,1,3197,3,0,KEEP,Tree Shaking 的边界：CJS、sideEffects 与动态 import 不能混为一谈
http-cache-control-etag,2026-08-07,8,4,2,1,0,1,3368,5,0,KEEP,HTTP 缓存不是'快慢'问题：Cache-Control 与 304 的账本
go-slice-subslice-hold,2026-08-15,8,4,2,1,0,1,3381,3,0,KEEP,slice 截断不释放：底层数组还在的约 66MiB
go-select-selectgo-cost,2026-08-12,8,4,2,1,0,1,3439,4,0,KEEP,select 的仲裁成本：单 case 4.187ns，8 case 193.2ns
go-memory-leak-pprof,2026-08-10,8,4,2,1,0,1,3440,5,0,KEEP,Go 内存泄漏不是玄学：pprof 的堆账与三个误报
typescript-streams-backpressure,2026-08-16,8,4,2,1,0,1,3490,4,2,KEEP,背压不是语法糖：从 async generator 追到 Readable 的队列
go-goroutine-leak-pprof,2026-08-11,8,4,2,1,0,1,3552,3,0,KEEP,goroutine 泄漏不是内存泄漏：一张 goroutine profile 的读法
