slug,score,prose,fences,evidence,refs,visual,chars,n_fences,n_refs,title
node-shared-memory-atomics,4,2,0,1,1,0,1916,0,3,"worker 之间怎么说话：SharedArrayBuffer + Atomics"
node-sqlite-builtin,4,1,1,1,1,0,1031,1,4,"Node 内置 sqlite：参数化、具名参数、显式事务三断言"
node-structured-clone-semantics,4,1,1,1,1,0,1137,1,3,"structuredClone 四语义：隔离真，函数拒收，类退化 plain"
pg19-delayed-note,4,2,0,1,1,0,1692,0,6,"PG 19 跳票到 10 月底：野心功能被 revert 的教训"
read-your-write-session,4,1,1,1,1,0,1335,1,3,"读己之写两实现：粘性窗口覆盖 99.41%，版本门回主 0.59%"
redis-valkey-fork,4,2,0,1,1,0,1614,0,4,"Redis 与 Valkey 分叉点：IDMP/HOTKEYS 只在一边"
resilience-window-retry,4,1,0,1,1,1,884,0,4,"韧性两算式：窗口限流与重试预算"
schema-breaking-detector,4,1,1,1,1,0,1320,1,3,"schema breaking 检测：改名与收窄标红，加可选放行"
service-config-hot-reload,4,1,1,1,1,0,1155,1,4,"配置热加载：解析全成功才换引用，50 次风暴写入无半截读"
service-pagination-cursor,4,1,1,1,1,0,995,1,3,"翻页用 cursor 不用 offset：并发写入下 offset 重 2 行"
service-payment-callback-design,4,1,1,1,1,0,1163,1,4,"设计一个支付回调系统：签名、去重、重试、查询一次串完"
sqlite-wal-checkpoint,4,1,1,1,1,0,1468,1,3,"SQLite WAL checkpoint：49KB 先长后消，2000 行不少一行"
agent-session-budget,5,2,0,1,1,1,2301,0,3,"到限额才刹车，100% 会超支：Agent 会话预算的三种刹车实测"
cell-based-architecture-bulkhead,5,2,1,1,1,0,2382,2,3,"Cell-Based Architecture：故障隔离的基建层"
eval-set-leakage,5,2,0,1,1,1,2354,0,3,"模型没变好，分数先变好：评测集泄漏的膨胀曲线实测"
go-defer-panic-cost,5,3,0,0,1,1,3011,0,3,"defer 的真相：3ns 的日常、30ns 的循环税，与 74ns 的 panic"
http-four-mechanisms,5,1,2,1,1,0,1369,4,3,"HTTP 四则：复用、流、续传、跨域"
node-eventemitter-pubsub,5,2,1,1,1,0,1748,2,4,"Node 没有 channel，也没有 AsyncEventEmitter"
node-permission-model-boundary,5,2,1,1,1,0,2034,2,3,"Node 权限模型：能拦住投毒依赖读文件，拦不住什么"
service-webhook-hmac,5,1,1,1,1,1,960,1,3,"webhook 三断言：签名对上才执行，同 id 复投不重执"
slo-burn-rate-alert,5,1,1,1,1,1,1013,1,3,"SLO burn-rate 双阈值：ticket +7 分钟响，page +16 分钟确认"
sqlite-index-two-shapes,5,2,1,1,1,0,1781,1,4,"SQLite 索引两形态：FTS5 全文 vs JSON 生成列"
typescript-71-beta-native-check,5,2,1,1,1,0,1919,2,3,"TS 7.1 nightly 自举实测：本仓 typecheck 快 5 倍，报错逐字一致"
agent-engine-economics,6,4,1,0,0,1,3994,1,0,"少发 Token 才是硬道理：从 Databricks 与 Shopify 实测看 Harness 的经济性"
agent-engine-session,6,4,1,0,0,1,3907,2,0,"会话是树不是日志：Pi 的分支、版本迁移与崩溃自愈"
benchmark-one-variable,6,3,1,1,0,1,3004,1,1,"benchmark 只改一个变量：min 统计会把第二个变量藏起来"
dependency-upgrade-resource-signature,6,5,0,0,0,1,6577,0,0,"依赖升级的风险不在 breaking change，在资源特征的静默漂移"
distributed-clock-ordering-hlc-truetime,6,5,0,0,0,1,5595,0,2,"没有全局时钟的世界：HLC、TrueTime 与因果一致性怎么选"
go-benchmark-pitfalls,6,4,0,0,1,1,3744,0,5,"benchmark 的七宗罪：死代码、逃逸与采样 profile 的错觉"
go-closure-escape,6,3,1,0,1,1,3174,2,3,"Go 闭包的逃逸边界：无捕获调用 0 alloc，保存回调 1 alloc"
go-encoding-json-v2-goroutineleak,6,3,1,1,1,0,2495,2,3,"Go 1.27 双特性实测：json/v2 的 strict 与 goroutineleak 画像的真相"
go-errors-is-unwrap-cost,6,3,1,0,1,1,3100,1,3,"错误链的账本：查询每层约 4ns，包装一次 142ns，税在构造不在遍历"
go-generic-methods-interface-boundary,6,2,2,1,1,0,2187,3,3,"Go 1.27 泛型方法：把 Map 写回类型身上，但别碰接口"
health-check-semantics-special-request,6,5,0,0,0,1,6700,0,0,"健康检查是系统里语义最特殊的请求"
hidden-defaults-architecture-decisions,6,5,0,0,0,1,7265,0,0,"默认值是一种隐藏的架构决策"
lamport-vector-clocks,6,3,1,1,0,1,3104,1,2,"Lamport 时钟说\先\，向量时钟说\不一定\：1770 个事件对的实测分歧"
llm-embedding-retrieval,6,4,0,1,0,1,3501,0,1,"检索的数学：为什么 embedding 排序比你想象的更依赖几何结构"
lsm-compaction-strategies,6,4,1,1,0,0,3962,1,2,"LSM-Tree Compaction：Leveled vs Tiered 的写放大之争"
memory-metrics-rss-heapused,6,4,0,1,0,1,3324,0,1,"RSS、heapUsed 与 GC 后保留量：三张表各回答一个问题"
monitoring-vs-forensics,6,5,0,0,0,1,5311,0,0,"监控告诉你「系统在叫」，取证告诉你「系统做了什么」"
node-als-tracing,6,3,2,1,0,0,3076,4,2,"AsyncLocalStorage 深度：请求 ID 为什么会串号"
observer-effect-monitoring-as-load,6,5,0,0,0,1,5683,0,0,"测一下，改一下：监控自己也是一种负载"
p99-sample-size-confidence,6,4,0,1,0,1,3280,0,1,"p99 的一次测量不可信：样本量决定分位数能告诉你多少"
phi-accrual-failure-detector,6,3,2,1,0,0,2978,4,2,"Phi-Accrual Failure Detector：心跳不是二极管"
promise-allsettled-partial-failure,6,3,2,1,0,0,2870,5,2,"Promise.allSettled：部分成功不是错误"
redis-intset-encoding-memory,6,3,1,1,0,1,2877,1,1,"Redis 集合三种编码：从 intset 到 hashtable 的内存跳跃实测"
rollback-observed-side-effects,6,5,0,0,0,1,5884,0,0,"回滚难的不是状态，是外部已经观测到的副作用"
sqlite-two-writers-busy,6,3,0,1,1,1,2890,0,6,"SQLite 不给你排队：两个连接同时写，输家在 0.4ms 内收到失败"
abstraction-leaks-failure-modes,7,5,1,0,0,1,7388,1,0,"抽象漏的不是细节，是失败模式"
agent-engine-context,7,5,1,0,0,1,4739,2,0,"上下文是吃预算的大户：Pi 如何把装配权交给文件和钩子"
agent-engine-extensions,7,5,1,0,0,1,4087,2,0,"34 行写出权限弹窗：Pi 的「不内置功能」宣言背后的扩展 API"
agent-engine-loop,7,5,1,0,0,1,4960,2,0,"Agent 不会自己停：805 行循环里的三个终止闸门"
agent-engine-provider,7,5,1,0,0,1,4169,1,0,"换模型不是换代码：pi-ai 如何把 47 家供应商折成一层 API"
agent-tooloop-fuse,7,5,2,0,0,0,5122,6,1,"Agent 死循环熔断：同签名连错与交替震荡的动态检测状态机"
ai-backend-00-architecture-blueprint,7,5,2,0,0,0,9129,7,0,"面向后端工程师的 AI 架构总纲：破除无头苍蝇困境的五层生产级心智模型与全景图谱"
ai-backend-01-constrained-decoding-structured-outputs,7,5,2,0,0,0,12326,13,0,"大模型受限解码与结构化输出：从文法有限状态机到 Logits 掩码的工业级防幻觉闭环"
ai-backend-03-enterprise-rag-hybrid-search-rerank,7,5,2,0,0,0,13768,11,0,"企业级生产 RAG：混合检索、RRF 融合与 Cross-Encoder 深度重排的漏斗架构"
ai-backend-04-semantic-cache-architecture,7,5,2,0,0,0,10526,9,2,"语义缓存（Semantic Cache）架构：从高维向量近邻检索到高并发防击穿的工程闭环"
ai-backend-07-agent-code-execution-sandbox,7,5,1,0,1,0,9346,2,4,"Agent 自主代码执行的安全沙箱架构：从 Docker 共享内核陷阱到 gVisor 与 Firecracker microVM 硬件级隔离"
ai-backend-10-llm-as-a-judge-eval-engineering,7,5,2,0,0,0,13566,11,2,"自动化评测门禁（LLM-as-a-Judge）工程化落地：位置偏差防御、Kappa 一致性校验与 CI/CD 质量红线"
ai-backend-11-agent-memory-systems-architecture,7,5,2,0,0,0,9889,7,0,"智能体分层记忆系统与遗忘曲线架构：从工作上下文到海量情景与语义反思的持久化工程"
ai-backend-12-multi-agent-orchestration-consensus,7,5,2,0,0,0,8811,5,0,"复合多智能体协同、A2A 协议与分布式共识机制：从单体 Agent 瓶颈到企业级分布式拓扑"
cdn-01-anycast-bgp-routing,7,5,0,0,1,1,10525,0,4,"现代 CDN 核心机理与全景架构（一）：Anycast BGP 路由广播、TCP 路由漂移防御与四层终结代理的物理本质"
cdn-03-dynamic-acceleration-smart-routing,7,5,0,0,1,1,6355,0,4,"现代 CDN 核心机理与全景架构（三）：动态请求加速（DCA）、私有骨干专网智能路由与 TCP 拥塞控制实战"
cdn-04-edge-security-waf-ddos,7,5,0,0,1,1,5364,0,3,"现代 CDN 核心机理与全景架构（四）：安全防御体系：边缘 WAF、DDoS 分布式清洗与 TLS 证书自动化卸载"
cdn-05-edge-computing-serverless-runtime,7,5,0,0,1,1,4658,0,3,"现代 CDN 核心机理与全景架构（五）：边缘计算与 Serverless：从边缘 KV、V8 Isolate 到全球分布式状态编排"
consensus-07-raft-membership-changes-joint-consensus,7,5,2,0,0,0,6129,6,0,"Raft 动态成员变更的脑裂陷阱：从直接切换的多数派断层到联合一致性（Joint Consensus）"
distributed-tracing-otel,7,5,1,0,0,1,5315,2,0,"分布式追踪：从 OpenTelemetry 看一次请求的一生"
esm-cjs-dual-package,7,4,1,1,0,1,3651,1,1,"ESM/CJS 双包不是发行策略，是分辨率合同：exports 字段的三层语义"
evidence-engineering-raw-output,7,5,1,0,0,1,6221,1,0,"证据的保质期：一份跑对了却落盘坏了的实验报告"
git-bisect-regression-hunt,7,4,1,1,0,1,3444,2,1,"git bisect 亲手四步定位回归：不是命令，是判定脚本工程"
go-atomic-vs-mutex,7,4,1,0,1,1,3437,1,3,"atomic 与 Mutex：7ns 到约 128ns 的争用曲线，不要把原语当银弹"
go-map-hmap-cost,7,4,1,0,1,1,3813,1,3,"Go map 的账本：8192 倍数据只改变约 2%，和 10 万次插入的 25.7% 税"
go-sync-pool-design,7,4,1,0,1,1,3647,2,4,"sync.Pool 的错位设计：命中 9ns、256B 分配 99ns，它不是缓存"
histogram-bucket-design,7,4,0,1,1,1,3316,0,3,"直方图桶不是拍脑袋：桶边界直接决定 p99 误差，越界桶让估计整段失效"
interview-01-realtime-leaderboard-system-design,7,5,2,0,0,0,7032,7,0,"面试官：如何设计一个千万级高并发实时排行榜？（从 Redis ZSET 到分级破偶架构演进）"
interview-02-llm-agent-gateway-system-design,7,5,2,0,0,0,9248,6,0,""
interview-03-filtered-vector-search-hnsw,7,5,2,0,0,0,8001,6,0,""
interview-04-ebpf-sockops-kube-proxy-bypass,7,5,2,0,0,0,8115,6,0,""
interview-05-truetime-vs-hlc-distributed-transactions,7,5,2,0,0,0,8283,6,0,""
interview-06-speculative-decoding-system-design,7,5,2,0,0,0,8900,6,0,""
interview-07-gpu-cluster-training-system-design,7,5,2,0,0,0,8414,6,0,""
interview-08-stock-exchange-matching-engine,7,5,2,0,0,0,6193,5,0,""
interview-09-distributed-digital-wallet-system-design,7,5,2,0,0,0,8636,6,0,""
interview-10-s3-object-storage-system-design,7,5,2,0,0,0,9539,6,0,""
interview-11-distributed-message-queue-system-design,7,5,2,0,0,0,13444,11,2,""
interview-12-proximity-nearby-friends-system-design,7,5,2,0,0,0,10681,10,2,""
interview-13-chat-system-architecture,7,5,2,0,0,0,9612,10,1,""
interview-14-ad-click-event-aggregation,7,5,2,0,0,0,11482,8,1,""
interview-15-payment-system-architecture,7,5,2,0,0,0,9202,7,1,""
interview-16-hotel-reservation-system,7,5,2,0,0,0,8605,8,1,""
interview-17-distributed-unique-id-generator,7,5,2,0,0,0,8829,7,1,""
interview-18-distributed-rate-limiter,7,5,2,0,0,0,9569,7,1,""
interview-19-distributed-key-value-store,7,5,2,0,0,0,10065,7,1,""
interview-20-news-feed-system-design,7,5,2,0,0,0,8064,11,0,""
interview-21-consistent-hashing-system-design,7,5,2,0,0,0,8403,8,0,""
interview-22-search-autocomplete-system-design,7,5,2,0,0,0,8144,7,0,""
interview-23-video-streaming-system-design,7,5,2,0,0,0,8050,7,1,""
interview-24-cloud-drive-file-sync-system-design,7,5,2,0,0,0,8143,8,0,""
interview-25-metrics-monitoring-alerting-system-design,7,5,2,0,0,0,15457,10,0,"千万级时序监控与告警系统架构：从 Facebook Gorilla 压缩到倒排索引与降采样引擎"
interview-26-distributed-web-crawler-system-design,7,5,2,0,0,0,12194,5,0,"百亿级分布式网络爬虫系统架构：从 Mercator 礼貌性 Frontier 到布隆去重与陷阱防御"
interview-27-url-shortener-system-design,7,5,2,0,0,0,10007,8,0,"百亿级分布式短链系统架构：Base62 发号器、碰撞容灾与 301/302 深度博弈"
interview-28-distributed-task-scheduler-system-design,7,5,2,0,0,0,11384,10,0,"分布式任务调度与工作流编排系统架构：从分层时间轮到 DAG 拓扑执行与租约容灾"
interview-29-collaborative-editing-ot-crdt-system-design,7,5,2,0,0,0,12265,8,0,"实时多人协同文档系统架构：从操作转换（OT）到 CRDT 数学收敛与因果树"
interview-30-notification-system-architecture,7,5,2,0,0,0,9431,10,0,"亿级高可靠分布式消息推送通知系统架构：多通道流量塑形、优先级防轰炸与幂等状态机"
interview-31-distributed-lock-redlock-fencing-token,7,5,2,0,0,0,8613,7,0,"分布式锁的物理边界：从 Martin Kleppmann 论战 Redlock 到 Fencing Token 形式化防御"
interview-32-hyperloglog-count-min-sketch-cardinality,7,5,2,0,0,0,9506,6,0,"百亿级基数统计与频次估算系统架构：从 HyperLogLog 伯努利试验到 Count-Min Sketch"
interview-33-ride-sharing-dispatch-h3-geospatial,7,5,2,0,0,0,9528,8,0,"全球出行打车调度与动态定价系统架构：从 GeoHash 矩形畸变到 Uber H3 六边形网格与二分图匹配"
interview-34-distributed-tracing-dapper-opentelemetry,7,5,2,0,0,0,11746,8,0,"全链路分布式追踪系统架构：从 Google Dapper 论文到 W3C TraceContext 与尾部采样"
interview-35-distributed-transactions-2pc-tcc-saga-local-message,7,5,2,0,0,0,11641,11,0,"分布式事务的终局决战：从 2PC 阻塞挂起到 TCC 悬挂防御与 Transactional Outbox"
interview-36-database-sharding-online-migration,7,5,2,0,0,0,10259,8,0,"千亿级数据库分库分表与在线平滑迁移架构：基因分片、全局并发与双写双跑"
interview-37-live-streaming-danmaku-system-design,7,5,2,0,0,0,9826,8,0,"亿级高并发实时直播弹幕系统架构：百万同屏长连接、写扩散风暴与边缘广播网格"
interview-38-cloud-native-api-gateway-envoy-apisix,7,5,2,0,0,0,9649,8,0,"云原生 API 网关核心架构：从 Nginx 静态 Reload 到 Envoy xDS 动态控制面与 Wasm 插件沙箱"
interview-39-distributed-consensus-paxos-raft-multiraft,7,5,2,0,0,0,11313,9,0,"分布式共识协议的工业演进：从 Paxos 不可言说的悲剧到 Raft 与 Multi-Raft 分区拓扑"
interview-40-realtime-recommendation-engine-architecture,7,5,2,0,0,0,10912,6,0,"亿级实时在线推荐系统架构：从四级漏斗到双塔模型与实时特征穿透"
interview-41-distributed-file-system-gfs-hdfs-ceph,7,5,2,0,0,0,8671,7,0,"分布式文件系统的物理基石：从 GFS/HDFS 集中式元数据到 Ceph CRUSH 无中心寻址"
interview-42-realtime-bidding-ad-exchange-rtb,7,5,2,0,0,0,9600,7,0,"毫秒级广告实时竞价系统架构：从 100ms 硬超时到二阶价格拍卖与平滑预算控速"
interview-43-distributed-graph-database-supernode,7,5,2,0,0,0,9424,7,0,"千亿边分布式图数据库与巨节点裂解架构：从 Pregel BSP 模型到点切分与两跳剪枝"
interview-44-edge-computing-cdn-request-collapsing,7,5,2,0,0,0,14136,10,0,"边缘计算与全球 CDN 多级缓存架构：从 BGP Anycast 就近接入到请求折叠与 Edge Serverless 演进"
interview-45-distributed-vector-database-scale,7,5,2,0,0,0,11081,7,0,"生产级分布式向量数据库架构：从存算分离到流式不可变段与混合检索 CBO"
interview-46-cloud-native-service-mesh-ambient-ebpf,7,5,2,0,0,0,10210,9,0,"服务网格 Service Mesh 的终局演进：从 Sidecar 内存税到 Istio Ambient 与 eBPF 内核直通"
interview-47-multi-region-cell-based-architecture,7,5,2,0,0,0,9578,6,0,"全球多活多单元化架构设计：从爆炸半径收敛到流量染色与异地多写冲突消解"
interview-48-lsm-tree-rocksdb-nvme-ssd-tuning,7,5,2,0,0,0,11225,5,0,"新一代 LSM-Tree 存储引擎与 SSD 物理调优：从 RUM 猜想到 RocksDB 锁死与 ZNS 破局"
interview-49-llm-flash-attention-paged-attention-mla,7,5,2,0,0,0,12905,6,0,"大模型长上下文注意力与显存虚拟化：从 FlashAttention 到 PagedAttention 与 DeepSeek MLA"
interview-50-webrtc-sfu-mcu-gcc-congestion-control,7,5,2,0,0,0,10750,7,0,"亿级点对点实时音视频通信架构：从 P2P 拓扑崩溃到 WebRTC SFU 与 GCC 拥塞控制"
interview-51-memory-allocator-jemalloc-mimalloc-ptmalloc,7,5,2,0,0,0,10754,8,0,"现代高性能内存分配器架构：从 glibc ptmalloc 锁竞争到 jemalloc 与 mimalloc 线程局部缓存"
interview-52-distributed-coordination-etcd-zookeeper,7,5,2,0,0,0,10865,8,0,"跨数据中心高可用分布式协调服务：从 ZooKeeper 惊群治理到 etcd Raft 租约与 Fencing Token 形式化防线"
interview-53-high-performance-rpc-grpc-flatbuffers,7,5,2,0,0,0,10382,10,0,"现代高性能 RPC 框架内核解密：从 gRPC HTTP/2 多路复用与 Protobuf 到 FlatBuffers 零反序列化"
interview-54-lakehouse-acid-iceberg-delta-lake,7,5,2,0,0,0,10653,8,0,"现代大规模湖仓一体架构：从 Hive 目录痛点到 Apache Iceberg 快照与 ACID 事务"
interview-55-async-task-pipeline-dead-letter-retry,7,5,2,0,0,0,8704,5,0,"大规模异步任务流水线与死信治理：从延迟队列重试风暴到全抖动退避与毒丸隔离"
kernel-03-xdp-line-rate-packet-bypass,7,5,1,0,0,1,4607,1,2,"XDP（eXpress Data Path）极速网络旁路：驱动层线速包处理与 Tbps 级性能神话"
kernel-07-bpf-ring-buffer-vs-perf-buffer,7,5,2,0,0,0,9562,8,0,"从 Perf Buffer 到 BPF Ring Buffer：Linux 内核事件通道的无锁设计、内存屏障与零拷贝"
kernel-08-linux-page-cache-dirty-writeback-stall,7,5,2,0,0,0,7117,7,0,"Page Cache 的击穿风暴：Linux 脏页回写与 balance_dirty_pages 的卡顿解剖"
kernel-09-linux-cfs-to-eevdf-cpu-scheduler,7,5,2,0,0,0,5862,6,0,"告别 16 年的 CFS：Linux 6.6 EEVDF 调度器的数学模型、延迟解耦与物理重构"
latency-attribution,7,3,1,1,1,1,3115,1,3,"setTimeout(25) 到客户端手里是 27ms：一次请求的三段归因实测"
legacy-code-as-information-compression,7,5,1,0,0,1,4989,2,0,"你想删的，不是代码，是一份没人写过的需求文档"
librespeed-go-01-overview,7,3,2,0,1,1,3118,4,5,"一个测速点的最小闭环：从 main.go 到三个测量端点"
librespeed-go-03-client-ip,7,3,2,0,1,1,3172,5,4,"从请求来源到结果记录：LibreSpeed Go 的身份、隐私与存储"
librespeed-go-04-contract,7,3,2,0,1,1,3046,3,4,"一次测速如何完成：Worker 合同、计量点与收尾算法"
librespeed-go-05-interface,7,4,1,0,1,1,3544,1,4,"从 URL 到监听入口：LibreSpeed Go 的接口兼容与部署边界"
llm-02-continuous-batching-scheduler,7,5,1,0,0,1,4324,1,2,"大模型吞吐翻倍引擎：从静态批处理到连续批处理（Continuous Batching）状态机"
llm-05-semantic-cache-vector-rag-jitter,7,5,1,0,0,1,5127,1,2,"大模型语义缓存与检索防抖：Embedding 相似度边界与 RAG 链路保护"
llm-11-mcp-tasks-extension,7,3,2,1,1,0,2913,3,3,"长任务状态三形状：MRTR 重试、Tasks 轮询、SSE 推送"
llm-13-chunked-prefill-and-pd-disaggregation,7,5,2,0,0,0,11801,6,0,"算力与访存的物理断层：从 Chunked Prefill 到 PD 分离（Prefill-Decode Disaggregation）架构"
llm-sampling-reproducibility,7,4,1,1,0,1,3632,1,2,"采样不是玄学：temperature、top-p、seed 的几何语义"
llm-token-economics,7,5,0,1,0,1,4605,0,2,"LLM 的 token 经济学：同一类请求，为什么账单能差 18.3 倍"
lockfree-cas-aba-problem,7,4,2,1,0,0,3297,5,2,"Lock-Free CAS：ABA 问题与无锁栈"
log-level-irreversible-information-destruction,7,5,1,0,0,1,7098,2,0,"日志级别是一种不可逆的信息销毁决策"
node-graceful-shutdown,7,3,2,1,1,0,2512,3,3,"AbortController 服务端：优雅关闭不是 SIGTERM"
pi-advanced-03-mcp-gateway,7,5,1,0,0,1,4790,2,0,"连接一切工具：为 Pi 编写标准 MCP 客户端桥接器"
postgres-hot-tuples-page-pruning,7,5,2,0,0,0,7927,10,0,"让 UPDATE 免受索引膨胀之苦：PostgreSQL HOT (Heap-Only Tuples) 与页内剪枝机制"
rebuild-incident-evidence-chain,7,4,1,0,1,1,3853,2,3,"接手一个只剩传闻的事故：先重建证据链，再谈根因"
redis-eviction-policy,7,4,1,1,0,1,3214,1,1,"Redis maxmemory 淘汰不是开关：LRU 对扫描流脆弱、LFU 免疫，本机四策略对照"
redis-threaded-io-architecture,7,5,2,0,0,0,6317,7,0,"Redis 究竟单线程在哪里？从事件循环到 Redis 6.0 多线程 I/O 的分工与屏障设计"
service-release-checklist,7,4,2,0,0,1,3443,4,2,"发布清单不能替你证明上线：把每一勾绑定到证据"
speedtest-05-protocol-overhead,7,4,2,0,0,1,3890,4,0,"协议开销战争：Raw TCP vs WebSocket vs HTTP/2 vs HTTP/3"
speedtest-07-10g-cost-architecture,7,4,2,0,0,1,3916,4,0,"万兆测速服务架构实战：从内核调优到十万并发成本模型"
two-generals-idempotency-state-machine,7,5,2,0,0,0,6333,8,0,"两将军困境与“恰好一次”的数学伪命题：分布式幂等状态机的设计边界"
agent-engine-layers,8,5,1,0,1,1,6122,2,3,"94k stars 的 Agent 只有 4 个工具：Pi 的五层架构与「刻意不做」"
agent-engine-security,8,5,2,0,0,1,4386,3,0,"权限边界与沙箱：为什么 Pi 不做应用层弹窗，而把隔离推给容器"
agent-engine-tools,8,5,2,0,0,1,4232,3,0,"Agent 的手：为什么 4 个工具够用，以及 bash 沙箱的实质"
ai-backend-02-streaming-gateway-sse-backpressure,8,5,2,0,1,0,19080,15,6,"大模型流式网关与 SSE 背压流控：长连接耗尽、级联取消与 TCP 滑窗协同架构"
ai-backend-05-prompt-caching-finops-engineering,8,5,2,0,1,0,11996,12,4,"大模型上下文缓存（Prompt Caching）与 Token 成本工程：削减 80% 算力开销的架构范式"
ai-backend-06-mcp-protocol-engineering,8,5,2,0,1,0,13110,14,4,"Model Context Protocol（MCP）协议工程解密：从 JSON-RPC 2.0 传输拓扑到企业微服务原生接入"
ai-backend-08-deterministic-agent-state-machine,8,5,2,0,1,0,11717,8,4,"确定性 Agent 状态机与断点恢复：从朴素 while 循环崩溃到 Durable Execution 持久化工作流"
ai-backend-09-genai-observability-opentelemetry,8,5,2,0,1,0,10947,7,4,"大模型全链路分布式追踪（GenAI Observability）：从 OpenTelemetry 语义约定到 TTFT 与 Token 成本归因"
ai-backend-13-speculative-decoding-production-serving,8,5,2,0,1,0,12451,9,6,"面向后端工程师的 AI 架构与工程实战（十三）：投机采样与推测解码的高并发工业落地"
ai-backend-14-agent-tool-use-self-healing-loop,8,5,2,0,1,0,9911,8,5,"面向后端工程师的 AI 架构与工程实战（十四）：智能体工具调用自愈与容错闭环"
ai-backend-15-llm-routing-and-fallback-cascade,8,5,2,0,1,0,9741,8,4,"面向后端工程师的 AI 架构与工程实战（十五）：模型级联路由与 SLA 容灾策略"
ai-backend-16-paged-attention-kv-cache-virtual-memory,8,5,2,0,1,0,12612,6,4,"面向后端工程师的 AI 架构与工程实战（十六）：PagedAttention 与显存虚拟化深度解密"
ai-backend-17-long-context-rope-attention-sinks,8,5,2,0,1,0,9537,6,5,"面向后端工程师的 AI 架构与工程实战（十七）：长上下文外推、RoPE 旋转位置编码与注意力黑洞（Attention Sinks）"
ai-backend-no-magic,8,5,2,0,0,1,15190,12,0,"AI 应用的后端没有魔法"
btree-page-split-write-amplification,8,4,1,1,1,1,3963,1,5,"B+Tree 的随机插入为什么吃空间：16KB 页与页分裂模型"
cache-consistency,8,5,2,0,0,1,14469,13,0,"缓存一致为什么比缓存命中难"
cdn-02-edge-cache-consistent-hashing,8,5,1,0,1,1,7862,2,3,"现代 CDN 核心机理与全景架构（二）：七层边缘分层缓存、Ketama 一致性哈希与回源风暴（Thundering Herd）熔断防御"
characterization-test-refactor-safety-net,8,4,1,1,1,1,3607,1,3,"重构不改行为，但你怎么证明？给 store 拍一套行为快照"
consensus-01-raft-state-machine-replication,8,5,1,0,1,1,6206,2,4,"深入 Raft 共识内核：Leader 选举状态机、日志复制与物理脑裂防御"
consensus-02-quorum-read-write-cap-pacelc,8,5,1,0,1,1,5058,1,4,"Quorum 机制与一致性边界：R+W>N 物理重叠、Sloppy Quorum 与 PACELC 权衡"
consensus-03-distributed-transactions-2pc-saga-outbox,8,5,1,0,1,1,5906,2,3,"分布式事务工程演进：2PC/3PC 阻塞困境、SAGA 状态机编排与本地消息表"
consensus-04-logical-clocks-vector-spanner-truetime,8,5,1,0,1,1,5621,2,5,"分布式时序与因果一致性：Lamport 逻辑时钟、向量时钟到 Spanner TrueTime 物理不确定性"
consensus-05-chaos-engineering-jepsen-linearizability,8,5,1,0,1,1,4270,1,3,"混沌工程与分布式一致性检验：Jepsen 故障注入与 Knossos 线性一致性判定"
consensus-06-distributed-locks-redlock-etcd-fencing,8,5,1,0,1,1,4757,2,4,"分布式锁的工程演进与物理红线：从 Redis Redlock、etcd 租约到 Fencing Token 终极对决"
covering-index-avoid-back-to-table,8,5,2,0,0,1,4733,4,0,"回表为什么贵：InnoDB 的二级索引账本"
